intermediate_graph_degree,graph_degree,itopk_size,search_width,max_search_iterations,total_vectors,total_queries,build_time_seconds,best_batch_size,p99_latency_ms,queries_per_second,recall,used_filter,initial_gpu_memory_percent_used,post_build_gpu_memory_percent_used,memory_increase_build_gb,rating_filter
64,32,32,1,0,5000000,10000,26.998338222503662,10,0.0006597900390625001,16623.04228539942,0.77215,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
64,32,32,2,0,5000000,10000,26.975788831710815,10,0.0006683588027954109,16616.76953519167,0.77326,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
64,32,32,4,0,5000000,10000,26.934943199157715,10,0.000711758136749268,16364.699618114631,0.77098,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
64,32,32,8,0,5000000,10000,26.95796799659729,10,0.0006961822509765625,16068.86386918543,0.85363,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
64,32,32,16,0,5000000,10000,26.930302381515503,10,0.000739483833312988,15222.651918823914,0.90438,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
64,32,32,32,0,5000000,10000,26.934106826782227,10,0.0007603549957275399,15196.409872009572,0.93002,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
64,32,32,64,0,5000000,10000,27.00698947906494,10,0.0011988401412963883,11274.847325707515,0.93964,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
64,32,64,1,0,5000000,10000,26.957383632659912,10,0.0007320404052734361,15907.703334387086,0.83981,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
64,32,64,2,0,5000000,10000,26.95377254486084,10,0.0006811952590942381,16122.078611456815,0.83973,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
64,32,64,4,0,5000000,10000,27.01978087425232,10,0.0007007741928100582,16222.14518219641,0.84074,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
64,32,64,8,0,5000000,10000,26.955724239349365,10,0.0006826090812683105,16131.431888170753,0.85555,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
64,32,64,16,0,5000000,10000,26.944223403930664,10,0.0007573223114013677,15108.226137264412,0.90435,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
64,32,64,32,0,5000000,10000,26.96639919281006,10,0.00076951265335083,15008.134017067694,0.92907,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
64,32,64,64,0,5000000,10000,27.00978684425354,10,0.0011931061744689928,11306.775635009968,0.93946,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
64,32,128,1,0,5000000,10000,26.952523231506348,10,0.0007698750495910654,15544.627491061616,0.88714,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
64,32,128,2,0,5000000,10000,27.007731676101685,10,0.0007279682159423827,15871.525136106624,0.88561,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
64,32,128,4,0,5000000,10000,27.060567378997803,10,0.0007674741744995118,15598.081944808158,0.88552,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
64,32,128,8,0,5000000,10000,27.02944278717041,10,0.0007294130325317385,15769.89977097002,0.88603,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
64,32,128,16,0,5000000,10000,26.946669340133667,10,0.0007134270668029781,15360.995246590022,0.90405,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
64,32,128,32,0,5000000,10000,26.958042860031128,10,0.0007810926437377928,14885.059295149846,0.92924,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
64,32,128,64,0,5000000,10000,26.97597336769104,10,0.0011903047561645508,11265.802555716387,0.93947,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
64,32,256,1,0,5000000,10000,26.967923164367676,10,0.0007989311218261717,14941.0510124963,0.91765,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
64,32,256,2,0,5000000,10000,26.961477518081665,10,0.0007848548889160152,14821.120878822197,0.9182,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
64,32,256,4,0,5000000,10000,26.961592197418213,10,0.0008160567283630369,14863.483410316803,0.9175,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
64,32,256,8,0,5000000,10000,26.98201274871826,10,0.0008221864700317383,14762.623238059507,0.9181,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
