M,efConstruction,efSearch,total_vectors,total_queries,build_time_seconds,search_time_seconds,p99_latency_ms,queries_per_second,batch_size,recall,initial_memory_gb,post_build_memory_gb,memory_increase_build_gb
32,128,256,5000000,10000,100.05981469154358,0.7238502502441406,0.036814393997192385,15671.436636054124,100,0.78575,2.1,2.5,1.8070907592773438
32,128,512,5000000,10000,86.47103238105774,1.0587356090545654,0.04127503633499166,13107.036099610512,100,0.82203,2.1,2.5,1.80743408203125
32,128,768,5000000,10000,96.06350135803223,1.5054826736450195,0.04791105031967181,11078.496226946725,100,0.83975,2.1,2.5,1.80743408203125
32,128,1024,5000000,10000,89.7865343093872,1.870223045349121,0.05469756126403809,9290.763930547413,100,0.84369,2.1,2.5,1.8075370788574219
32,256,8,5000000,10000,192.4635021686554,0.39840054512023926,0.02741945505142211,19858.29208692262,100,0.32821,2.1,2.5,1.80743408203125
32,256,16,5000000,10000,190.37475752830505,0.41442418098449707,0.02837451219558716,19560.182477471615,100,0.44579,2.1,2.5,1.8070335388183594
32,256,32,5000000,10000,209.32266306877136,0.5436251163482666,0.029675483703613278,19096.244348234595,100,0.56616,2.1,2.5,1.8070526123046875
32,256,64,5000000,10000,186.90225386619568,0.4865751266479492,0.031009645462036124,18121.83455770059,100,0.67576,2.1,2.5,1.8070564270019531
32,256,128,5000000,10000,201.24975085258484,0.5872383117675781,0.033734045028686516,16918.65113234395,100,0.75558,2.1,2.5,1.80743408203125
32,256,256,5000000,10000,206.19395923614502,0.8428699970245361,0.0386660099029541,14994.975008614372,100,0.80754,2.1,2.5,1.8075065612792969
32,256,512,5000000,10000,207.07712936401367,1.2615025043487549,0.04505108833312986,11862.045611466889,100,0.8408,2.1,2.5,1.80743408203125
32,256,768,5000000,10000,197.26500749588013,1.759704351425171,0.05183517932891846,9692.146391522841,100,0.84983,2.1,2.5,1.8070755004882812
32,256,1024,5000000,10000,198.36281514167786,2.189561367034912,0.062186541557312,8298.852716009924,100,0.8556,2.1,2.5,1.80743408203125
32,512,8,5000000,10000,406.38974595069885,0.44693541526794434,0.028342885971069334,19550.243727249424,100,0.3384,2.1,2.5,1.80743408203125
32,512,16,5000000,10000,429.1160018444061,0.45403623580932617,0.02817255973815918,19529.982269616183,100,0.45664,2.1,2.5,1.8074378967285156
32,512,32,5000000,10000,401.0062520503998,0.4959440231323242,0.029289426803588866,18879.098113082,100,0.58148,2.1,2.5,1.80743408203125
32,512,64,5000000,10000,435.17814111709595,0.5940117835998535,0.03024913072586061,18323.590074358766,100,0.69216,2.1,2.5,1.8071212768554688
32,512,128,5000000,10000,396.5972445011139,0.7810447216033936,0.03496711730957033,16546.44019234831,100,0.77301,2.1,2.5,1.80743408203125
32,512,256,5000000,10000,406.0410168170929,0.9573619365692139,0.03972979545593262,14241.373315234008,100,0.82262,2.1,2.5,1.8074378967285156
32,512,512,5000000,10000,428.4164116382599,1.3730452060699463,0.04805526733398426,11128.26775522636,100,0.84721,2.1,2.5,1.80743408203125
32,512,768,5000000,10000,401.6414041519165,1.901228666305542,0.06119863986968992,8692.630713285214,100,0.85854,2.1,2.5,1.8069953918457031
32,512,1024,5000000,10000,391.68203616142273,2.3555541038513184,0.07164568901062011,7119.4950078238435,100,0.86303,2.1,2.5,1.8075027465820312
