intermediate_graph_degree,graph_degree,itopk_size,search_width,max_search_iterations,total_vectors,total_queries,build_time_seconds,best_batch_size,avg_query_latency_ms,queries_per_second,recall,used_filter,initial_gpu_memory_percent_used,post_build_gpu_memory_percent_used,memory_increase_build_gb,rating_filter
64,64,512,1,0,5000000,10000,28.478416204452515,10,0.0058034491539001466,6806.492845790297,0.97168,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"1.0-2.0, 2.0-3.0"
64,64,512,2,0,5000000,10000,28.487847089767456,10,0.005794515609741216,6789.836699471538,0.97173,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"1.0-2.0, 2.0-3.0"
64,64,512,4,0,5000000,10000,28.514384508132935,10,0.005861673355102541,6793.851427447137,0.97145,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"1.0-2.0, 2.0-3.0"
64,64,512,8,0,5000000,10000,28.50857973098755,10,0.0059749031066894135,6810.021963417615,0.97133,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"1.0-2.0, 2.0-3.0"
64,64,512,16,0,5000000,10000,28.54304337501526,10,0.005871510505676271,6799.6467488659955,0.97131,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"1.0-2.0, 2.0-3.0"
64,64,512,32,0,5000000,10000,28.572133779525757,10,0.005891418457031207,6842.743165460939,0.97154,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"1.0-2.0, 2.0-3.0"
64,64,512,64,0,5000000,10000,28.589630126953125,10,0.005464787483215331,6828.819569028215,0.97131,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"1.0-2.0, 2.0-3.0"
96,32,32,1,0,5000000,10000,28.955998182296753,10,0.0010453534126281722,13785.80618318233,0.88602,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
96,32,32,2,0,5000000,10000,28.897565364837646,10,0.0010345625877380372,13653.493898685936,0.88594,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
96,32,32,4,0,5000000,10000,28.906739711761475,10,0.001073603630065918,13782.351532202558,0.88561,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
96,32,32,8,0,5000000,10000,28.901274919509888,10,0.0011018419265747068,13729.279024682322,0.88602,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
96,32,32,16,0,5000000,10000,28.934159517288208,10,0.0010514044761657714,13774.942277029038,0.88635,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
96,32,32,32,0,5000000,10000,28.944522619247437,10,0.0010760569572448734,13674.331658384548,0.88758,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
